Company,City,State,Phone,MC_Number,DOT_Number,Called,Outcome,Notes
JEREMIAH TRUCKING LLC,VICTORVILLE,CA,(909) 996-7705,MC1258939,3651682,,,
KINGPIN TRUCKING INC,ROSEVILLE,CA,(916) 917-0617,MC1263682,3658233,,,
HPD FREIGHT INC,FONTANA,CA,(209) 305-1127,MC1261823,3655714,,,
JDRT LOGISTICS LLC,BALDWIN PARK,CA,(626) 364-9012,MC1216601,3591389,,,
GRAND TRUCKING INC,MOORPARK,CA,(818) 966-2560,MC1202360,3570207,,,
MYSIA COMMERCE LLC,LA VERNE,CA,(626) 620-0302,MC1213014,3586098,,,
MR KUMAR TRANSPORT INC,ARTESIA,CA,(714) 681-3669,MC1245304,3633480,,,
BLACK CAT TRUCKING INC,CANYON COUNTRY,CA,(818) 919-2028,MC1304236,3713517,,,
SNG ENTERPRISE INC,CERRITOS,CA,(562) 417-7165,MC1344557,3749277,,,
INTERSTATE FREIGHT SERVICES,TRACY,CA,(209) 629-4443,MC1321470,3737112,,,
GUARDADO TRANSPORT INC,VAN NUYS,CA,(818) 427-6946,MC1342529,3765910,,,
DIESEL STORM TRANSPORTATION LLC,LAWNDALE,CA,(323) 616-3619,MC1332343,3690310,,,
G B CARRIERS INC,ROSEVILLE,CA,(916) 926-7204,MC1350578,3776905,,,
RM TRANSPORTATION INC,LOS ANGELES,CA,(323) 570-6386,MC1290362,3082065,,,
E & A TRANSPORTATION LLC,SALINAS,CA,(831) 595-3117,MC1369818,3803388,,,
J M TRUCKLINE INC,FRESNO,CA,(559) 477-8036,MC1376530,3812588,,,
SKIY TRUCKING INC,CASTRO VALLEY,CA,(510) 502-5365,MC1355020,3783160,,,
NARWAL EXPRESS INC,YUBA CITY,CA,(530) 218-1225,MC1276019,3675238,,,
SS BASRA TRANSPORT INC,FONTANA,CA,(559) 513-6936,MC1324615,3741461,,,
CISNEROS TRUCKING SERVICES INC,HAYWARD,CA,(510) 706-0209,MC1348163,3773659,,,
LA 27 LLC,TEMECULA,CA,(951) 252-4310,MC1314577,3727622,,,
DXF EXPRESS INC,RANCHO CUCAMONGA,CA,(703) 814-2478,MC1337183,3758684,,,
CARLOS LUQUE,GARDEN GROVE,CA,(619) 530-1952,MC1268897,3665402,,,
JRJE TRANSPORT INC,STOCKTON,CA,(209) 507-6847,MC1283661,3685564,,,
SKG TRANSPORTATION INC,BAKERSFIELD,CA,(661) 378-1627,MC1311259,3723087,,,
CALIFORNIA INTERMODAL TRANSPORT INC,BAKERSFIELD,CA,(424) 307-7776,MC1372864,3795594,,,
ALQAISI TRANSPORTATION LLC,EL CAJON,CA,(619) 389-9265,MC1320481,3735729,,,
ZL TRANSPORT INC,EASTVALE,CA,(909) 967-2856,MC1270533,3667645,,,
KSL TRANS INC,FRESNO,CA,(530) 537-5704,MC1298738,3706034,,,
THAKUR TRUCK INC,SACRAMENTO,CA,(206) 771-6438,MC1361266,3791712,,,
EJ4 TRUCKING LLC,MENIFEE,CA,(323) 327-2862,MC1292357,3697434,,,
SBR LOGISTICS INC,STOCKTON,CA,(925) 278-8403,MC1353554,3781089,,,
JIM FRIEBEL TRUCKING INC,HOLLISTER,CA,(408) 595-0444,MC1328632,2741287,,,
ASB TRANS INC,HAYWARD,CA,(510) 384-6595,MC1301289,2253463,,,
MSG TRUCK INC,FRESNO,CA,(559) 558-7277,MC1349971,3776052,,,
CHENG XIN FREIGHT INC,ARCADIA,CA,(669) 333-4688,MC1284509,3595914,,,
GNZ TRANSPORTS LLC,BELLFLOWER,CA,(562) 652-4911,MC1333174,3753198,,,
DARNELL STACY ZENO,OAKLAND,CA,(650) 350-2262,MC1373759,3549991,,,
SPEED SHUTTLE LLC,QUAIL VALLEY,CA,(951) 722-2278,MC1377371,3813767,,,
BAAZ CARGO INC,LATHROP,CA,(646) 988-8166,MC1335259,3756039,,,
"ROBO JR TRUCKING, INC.",ONTARIO,CA,(909) 782-5683,MC1355865,3784282,,,
"T&M FREIGHT BAJA, CORP",SAN DIEGO,CA,(619) 879-1698,MC1391098,3832916,,,
HAPPY TRUCKLINES INC,ELK GROVE,CA,(209) 499-7514,MC1411099,3861982,,,
NBA LOGISTICS COMPANY LLC,CHULA VISTA,CA,(619) 972-0457,MC1375323,3810921,,,
HDLP TRANSPORT  LLC,VICTORVILLE,CA,(760) 559-0705,MC1389170,3830243,,,
GOLD AND STATE TRANS INC,LONG BEACH,CA,(562) 342-3419,MC1418099,3872287,,,
STATELINE LOGISTICS LLC,SAN FRANCISCO,CA,(513) 766-9731,MC1388011,3828630,,,
WARASTA CARRIERS LIMITED LIABILITY CO,TRACY,CA,(510) 999-0157,MC1464826,3942770,,,
TURN N HEADS TRUCKING LLC,BARSTOW,CA,(442) 354-9934,MC1420666,3876210,,,
LPA TRUCKING LLC,VICTORVILLE,CA,(562) 881-9193,MC1427733,3886830,,,
IWINNER GROUP INC,WALNUT,CA,(626) 759-4444,MC1435173,3898104,,,
SINGH FREIGHT INC,FRENCH CAMP,CA,(510) 735-8788,MC1451984,3923495,,,
TAMAK TRUCKING INC,FRESNO,CA,(559) 412-1528,MC1387821,3828370,,,
ROYAL LOGISTIC INC,FRESNO,CA,(559) 906-7178,MC1474075,3956305,,,
BROWNS HAULING INC,CORONA,CA,(951) 855-0957,MC1396571,3840643,,,
MADERA LOGISTICS,FONTANA,CA,(323) 557-7365,MC1446070,3914524,,,
HYPER SONIC TRANSPORT INC,LOS ANGELES,CA,(323) 424-8520,MC1402803,3849691,,,
G&V GUILLEN FREIGHT LLC,WINDSOR,CA,(559) 385-6866,MC1476172,3959523,,,
BUNNY EXPRESS LOGISTICS INC,TUJUNGA,CA,(818) 927-9246,MC1443667,3910975,,,
5 RIVERS TOWING & RECOVERY INC,FONTANA,CA,(909) 251-2792,MC1439849,3905145,,,
RAPID ROADWAYS INC,NEWARK,CA,(510) 479-5545,MC1470963,3744931,,,
BACHAN TRANSPORT INC,ONTARIO,CA,(714) 747-5543,MC1456620,3930486,,,
EDYMAR TRANSPORT LLC,PARAMOUNT,CA,(562) 673-0044,MC1393157,3835871,,,
CESAR A AVILES,CHATSWORTH,CA,(818) 571-3130,MC1476920,3361391,,,
STEADY HAULING XPRESS LLC,COLTON,CA,(951) 966-4538,MC1384398,3823573,,,
JAY R CLARK ENTERPRISES LLC,VICTORVILLE,CA,(760) 303-5828,MC1465763,3944156,,,
DSL BROTHERS LLC,EL CENTRO,CA,(760) 791-2642,MC1384935,3824346,,,
BLUE FREIGHT LOGISTICS INC,POMONA,CA,(310) 882-9472,MC1477945,3962098,,,
SS DHILLON TRANSPORT INC,MODESTO,CA,(350) 600-2410,MC1387590,3828015,,,
ENRIQZZ TRUCKING LLC,CARSON,CA,(310) 894-0990,MC1413181,3865048,,,
MARTIN PEREZ,LOCKEFORD,CA,(209) 663-0194,MC1462941,3797427,,,
LU LU TONG TRUCKING,ROWLAND HEIGHTS,CA,(626) 841-2948,MC1390491,3832059,,,
VEXION LLC,LOS ANGELES,CA,(323) 440-6668,MC1436114,3899491,,,
LEMANS TRUCKING LLC,COVINA,CA,(310) 662-1180,MC1447734,3917098,,,
IMPACT TRANSPORTERS CORP,FRESNO,CA,(559) 903-1944,MC1400604,3846497,,,
GILBERTO CHAVEZ RODRIGUEZ,LOS ANGELES,CA,(323) 437-1751,MC1395810,3501090,,,
A RIVAS TRANSPORT LLC,PICO RIVERA,CA,(562) 646-8138,MC1386122,3825932,,,
XINTONG TRUCKING INC,FONTANA,CA,(626) 771-6009,MC1409162,3859111,,,
JATT 22 TRANS INC,LATHROP,CA,(209) 698-9282,MC1414109,3866361,,,
MOHALI CARRIER INC,BAKERSFIELD,CA,(661) 333-7241,MC1473455,3955434,,,
HJL TRUCKING INC,MONTEREY PARK,CA,(626) 267-3799,MC1477471,3961413,,,
ANAS ENTERPRISE LLC,SAN JOSE,CA,(408) 786-6322,MC1483093,3969811,,,
H&J CARRIER INC,FRESNO,CA,(559) 548-3362,MC1480036,3965253,,,
ATTAIN Z TRUCKING INC,DIAMOND BAR,CA,(626) 394-8086,MC1475107,3957867,,,
SUNNYWAY TRANS LLC,YUBA CITY,CA,(530) 682-0781,MC1433182,3895042,,,
JOSE MANUEL CARLOS,SAN YSIDRO,CA,(619) 646-5918,MC1530580,2737953,,,
REBEL TRANS INC,NEWARK,CA,(510) 676-2711,MC1527961,2853542,,,
DFS TRUCKING LLC,ONTARIO,CA,(909) 233-1463,MC1509099,3896378,,,
RUIFENG TRANSPORTATION INC,BELL GARDENS,CA,(626) 669-5028,MC1511530,4013032,,,
TECOS TRANSPORT LLC,COMPTON,CA,(310) 926-4237,MC1514654,4012471,,,
BPM EXPRESS LLC,ELVERTA,CA,(818) 335-0919,MC1560526,4094461,,,
DIAGEON INC,CHINO HILLS,CA,(213) 800-2852,MC1569312,4109483,,,
SSP EXPRESS TRUCKING INC,FONTANA,CA,(951) 622-9320,MC1574064,4117459,,,
BIG BROTHER TRANS INC,ELK GROVE,CA,(408) 464-4200,MC1572511,4114864,,,
LASSEN EQUIPMENT INC,GERBER,CA,(530) 200-7382,MC1530989,3538268,,,
NATOMAS TRUCKING INC,SAN RAMON,CA,(209) 666-0566,MC1557835,4090006,,,
TORRES XPRESS LLC,OAK HILLS,CA,(951) 233-6669,MC1531878,4045593,,,
FAST & AFFORDABLE HAULING INC,POMONA,CA,(909) 217-9342,MC1525644,3749963,,,
JOHNNY PARRA,BELL,CA,(323) 213-5077,MC1588680,3283779,,,
ANGELJR LLC,STOCKTON,CA,(510) 776-4309,MC1521615,4028942,,,
E3 EXPRESS TRANSPORT LLC,PALMDALE,CA,(323) 514-6848,MC1511129,4012381,,,
GBW TRANSPORT INC,ARCADIA,CA,(626) 606-6733,MC1524632,4033730,,,
TARZAN FREIGHT SERVICES INC,CHINO HILLS,CA,(626) 516-0036,MC1535871,4052349,,,
MM BARAK TRANSPORTATION LLC,SAN DIEGO,CA,(619) 856-6127,MC1564012,4100368,,,
AHAAN TRANS INC,TURLOCK,CA,(209) 292-0633,MC1573847,4117089,,,
BAINS ROADLINES INC,MANTECA,CA,(559) 720-3387,MC1560698,4094747,,,
WESTERN GROUNDS LLC,COMPTON,CA,(424) 376-1009,MC1520282,3948312,,,
JC & SONS TRUCKING LLC,HOLLISTER,CA,(510) 301-4858,MC1568089,3165061,,,
CHAVEZ CASILLAS  TRANSPORT LLC,PARAMOUNT,CA,(562) 469-9245,MC1514642,4017881,,,
GSJ EXPRESS INC,FRESNO,CA,(559) 580-7092,MC1562873,4098417,,,
WIND HORSE LOGISTICS INC,LATHROP,CA,(209) 804-9394,MC1556705,4088060,,,
M&A TRUCKING EXPRESS INC,SIGNAL HILL,CA,(213) 494-7314,MC1518526,4023977,,,
HJH TRUCKING INC,FONTANA,CA,(626) 977-3316,MC1588668,4142609,,,
LEONE TRANSPORTATION LLC,SACRAMENTO,CA,(916) 821-0715,MC1504795,4002633,,,
SHIV SHAKTI TRANSPORT INC,FRESNO,CA,(559) 214-3908,MC1567626,4106550,,,
DHANJU XPRESS INC,STOCKTON,CA,(209) 244-4457,MC1521133,4028142,,,
JUST IN TIME EXPRESS INC,LA PUENTE,CA,(562) 821-3537,MC1484109,1168225,,,
WALTER R OPENSHAW,DRYTOWN,CA,(209) 245-6265,MC1495029,2706860,,,
TRANSISTIONS INC,MURRIETA,CA,(951) 561-3449,MC1537960,4055879,,,
KORIMA PACK LLC,WEST COVINA,CA,(213) 210-7335,MC1580516,4128656,,,
AMERICAN EAGLE RELOCATION LLC,VAN NUYS,CA,(800) 507-1590,MC1587479,3700234,,,
QUALITY WORLDWIDE EXPRESS LLC,UPLAND,CA,(310) 433-7243,MC1529956,4042357,,,
HO LEE EXPRESS INC,LOS ANGELES,CA,(213) 310-2211,MC1542290,4063497,,,
BOXES AND FLEXO SA DE CV,CALEXICO,CA,(760) 208-2056,MC1577217,2631423,,,
ARREOLA & SONS TRUCKING LLC,POMONA,CA,(626) 877-3710,MC1515103,3795098,,,
GAD CARRIER INC,SACRAMENTO,CA,(916) 664-1613,MC1529790,4042097,,,
SIRIUS LOGISTICS SERVICES LLC,SAN DIEGO,CA,(442) 250-2393,MC1523391,4031707,,,
NOK-TURNO TRANSPORT INC,FRESNO,CA,(559) 210-2547,MC1545648,3659314,,,
JOEY DINO TRANSPORT LLC,SIGNAL HILL,CA,(213) 494-7314,MC1512772,4014908,,,
D VELARDE'S LOGISTIC LLC,SAN DIEGO,CA,(619) 632-2787,MC1534856,4050681,,,
TSB TRUCKING INC,CLOVIS,CA,(559) 759-5501,MC1569099,4109092,,,
CAIRO GO LLC,CERES,CA,(209) 300-2123,MC1571225,4112765,,,
J B C REGIONAL TRUCKING,RIALTO,CA,(909) 787-6785,MC1585821,4137814,,,
K SARAN TRANS INC,BAKERSFIELD,CA,(661) 885-5517,MC1572107,4114214,,,
DSP TRUCKLINES INC,FRESNO,CA,(559) 908-4575,MC1565662,4103284,,,
J A I LLC,BRYN MAWR,CA,(909) 586-5176,MC1492967,3984594,,,
MAHIL CARRIER INC,FRESNO,CA,(559) 709-3395,MC1572699,4115197,,,
SFUH SERVICES INC,FREMONT,CA,(510) 565-5799,MC1503945,4001347,,,
JUAN CONTRERAS TRUCKING LLC,SIGNAL HILL,CA,(213) 804-8928,MC1524669,4033784,,,
JOVAN XPRESS INC,KEYES,CA,(209) 410-0468,MC1584393,4135334,,,
SOLSAN LOGISTICS INC,MAYWOOD,CA,(323) 595-1253,MC1567652,2751613,,,
LION'S SHARE TRANSPORT LLC,UNION CITY,CA,(510) 921-1515,MC1548754,4074647,,,
NOR TRUCKING INC,SUNLAND,CA,(818) 860-8650,MC1625724,4210283,,,
SUPREME FREIGHT LINES INC,CERES,CA,(209) 499-3845,MC1658648,2987930,,,
HIGH MILE CARGO,VICTORVILLE,CA,(909) 201-9315,MC1671264,4293949,,,
PEPSU ROADWAYS INC,ATWATER,CA,(209) 864-6993,MC1624519,4208013,,,
RANDHAWA ROADKINGS INC,SUNNYVALE,CA,(559) 547-1117,MC1661432,4276039,,,
KBR TRUCKING INC,FRESNO,CA,(559) 396-1922,MC1669138,4290182,,,
TETE LOGISTICS LLC,SAN DIEGO,CA,(619) 721-7953,MC1613064,4187163,,,
YH INTERNATIONAL LOGISTIC INC,WEST COVINA,CA,(320) 372-6666,MC1627723,4214014,,,
POLLO'S TRUCKING LINE LLC,BAKERSFIELD,CA,(661) 578-4998,MC1669762,3827431,,,
BAKAL BOYS TRUCKING INC,FRESNO,CA,(559) 344-2807,MC1610617,4182581,,,
BATTH G TRANS PRO INC,STOCKTON,CA,(925) 490-9100,MC1648077,4251550,,,
BAJRANGI TRANSPORT INC,UNION CITY,CA,(276) 279-5857,MC1614994,4190655,,,
PARAS TRANSPORTATION INC,FRESNO,CA,(559) 776-5725,MC1672597,4296519,,,
IRIGOYEN FARMS INC,SELMA,CA,(559) 898-0103,MC1597268,2601060,,,
ESTAR UNION TRANSPORTATION LLC,FREMONT,CA,(650) 305-5696,MC1627907,4214380,,,
HUA YU EXPRESS LLC,LA PUENTE,CA,(626) 216-7597,MC1623235,4205673,,,
ABZ TRANSPORT LLC,RIVERSIDE,CA,(562) 225-8794,MC1635438,4228304,,,
FEIYUN INC,EASTVALE,CA,(626) 636-6671,MC1686988,4322592,,,
IBANEZ INC,APPLE VALLEY,CA,(626) 465-5485,MC1631295,4220623,,,
BELLAMARIS TRANSPORT LLC,STOCKTON,CA,(805) 616-9060,MC1637819,4216919,,,
GOP TRANSPORTATION LLC,VICTORVILLE,CA,(714) 383-1438,MC1612358,4185802,,,
NORTHPOINT TRUCKING INC,YUBA CITY,CA,(530) 701-5474,MC1655575,4265186,,,
LUTHRA ROADWAYS INC,TRACY,CA,(209) 362-6602,MC1698644,4346012,,,
WHITE FALCON LOGISTICS,RANCHO CUCAMONGA,CA,(424) 355-3331,MC1679462,4309426,,,
HUIFENG TRANSPORTATION INC,ARCADIA,CA,(626) 898-1189,MC1614983,4190635,,,
SUNNY 999 TRUCKING INC,MONROVIA,CA,(949) 981-7786,MC1626438,4211604,,,
PATHFINDER CARRIER INC,FRESNO,CA,(903) 208-9003,MC1674465,4299951,,,
CHEEMA ROADKING INC,FRESNO,CA,(916) 516-6718,MC1694875,4338578,,,
JBA XPRESS INC,CONCORD,CA,(925) 594-3177,MC1631018,4220100,,,
AJ MULTANI EXPRESS INC,MERCED,CA,(929) 380-5945,MC1675528,4302002,,,
JOSE ALFREDO MARTINEZ LARA,CHULA VISTA,CA,(619) 206-4128,MC1631587,4221138,,,
LXJ LOGISTICS INC,ROSEMEAD,CA,(626) 244-9585,MC1607986,4177766,,,
SUNNY SIDE TRANSPORTATION LLC,LOS ANGELES,CA,(323) 529-2162,MC1603783,4157143,,,
SKYRIM TRUCKING INC,ALHAMBRA,CA,(626) 623-0204,MC1626047,4210889,,,
SOAR LOGISTICS INC,CHINO,CA,(929) 488-8758,MC1647895,4251218,,,
J MARTINEZ TRANSPORT LLC,LOMPOC,CA,(805) 757-9020,MC1655499,4238283,,,
SHREE SHYAM TRANSPORT INC,LODI,CA,(347) 753-6012,MC1696159,4341090,,,
ASSAT TRANSPORTATION INC,POMONA,CA,(562) 966-3081,MC1669729,4291199,,,
BATTAN ROADKING INC,FRESNO,CA,(317) 908-1860,MC1639982,4236688,,,
HALLWOOD TRANSPORT LLC,MARSYVILLE,CA,(530) 790-8530,MC1676575,3025765,,,
AP SANDHU LOGISTIC INC,SAN BERNARDINO,CA,(412) 312-0431,MC1613793,4188516,,,
SUNSHINE XIE LLC,IRVINE,CA,(949) 572-3210,MC1662541,4278081,,,
MANGAL SINGH INC,BAKERSFIELD,CA,(661) 364-9567,MC1646693,4248972,,,
NEW STAR TRANSPORT CORP,ORANGE,CA,(657) 757-5727,MC1598411,4159757,,,
NEXTROUTE LLC,GLENDALE,CA,(747) 350-9090,MC1688616,4326298,,,
THE BLACKSTONE GROUP LLC,SANTA ROSA,CA,(714) 900-2268,MC1665607,4283632,,,
CONSCIENTIOUS TRANSPORTATION LLC,ADELANTO,CA,(760) 686-6492,MC1626751,4177668,,,
MARIO FABIAN HERNANDEZ FRAIRE,SAN DIEGO,CA,(664) 186-1975,MC1649441,4254064,,,
DHILLION GROUP INC,FONTANA,CA,(909) 900-6507,MC1649491,4254152,,,
BERNARDINO EXPRESS LLC,SAN BERNARDINO,CA,(818) 836-7637,MC1643948,4239858,,,
ALPHA & OMEGA1 TRUCKING LLC,VICTORVILLE,CA,(442) 303-9216,MC1651722,4258284,,,
TGC TRUCKING LLC,MONTCLAIR,CA,(626) 428-6272,MC1666532,4285299,,,
STATES LOGISTIC INC,CLOVIS,CA,(559) 420-0100,MC1621421,4202321,,,
ONE STEP TRUCKING LLC,SHAFTER,CA,(661) 346-3905,MC1654749,4226209,,,
AUF TRACKING LLC,BLOOMINGTON,CA,(909) 549-5580,MC1686265,4321731,,,
BIG TREE TRUCKING INC,RANCHO CUCAMONGA,CA,(219) 713-9128,MC1635999,4229327,,,
RAMANS TRANSPORT INC,RANCHO CUCAMONGA,CA,(346) 646-8766,MC1675734,4302353,,,
SP FREIGHTWAY INC,SACRAMENTO,CA,(845) 475-7777,MC1653997,4262391,,,
LUNA SERVICES TRUCKING,LOS ANGELES,CA,(323) 457-9168,MC1602606,4155492,,,
SANTA MIROSLAVA ALONSO SANCHEZ,SAN DIEGO,CA,(664) 674-6346,MC1662899,4278721,,,
AZUSA TRUCKING INC,EASTVALE,CA,(909) 536-7953,MC1616495,4193465,,,
V&C TRANSPORTATION INC,LA PUENTE,CA,(323) 893-8773,MC1687842,4324699,,,
KISMAT CARGO INC,TURLOCK,CA,(209) 698-4248,MC1603681,4169861,,,
CAY GENERAL INC,ELK GROVE,CA,(510) 925-4357,MC1636487,2851262,,,
JAI BHOLE TRANSPORT INC,CLOVIS,CA,(559) 720-2801,MC1687983,4324944,,,
HEAVEN TRANSPORTER INC,FRESNO,CA,(209) 504-4234,MC1700238,4349050,,,
RICARDO SANCHEZ SALAZAR,SAN DIEGO,CA,(619) 805-0773,MC1694151,4337173,,,
ASIANA DRAYAGE LLC,SANTA MONICA,CA,(323) 410-0598,MC1698109,4344924,,,
FIVE STAR INT'L TRUCKING INC,CHINO HILLS,CA,(626) 830-9714,MC1701696,4351822,,,
PAN EXPRESS,LINCOLN,CA,(916) 622-8215,MC1646466,4248528,,,
KANG J TRANS INC,BAKERSFIELD,CA,(714) 300-5764,MC1671827,4295014,,,
DHILLON BROS INC,STOCKTON,CA,(209) 328-6850,MC1633118,4224002,,,
PURAB CARGO INC,FONTANA,CA,(909) 641-8867,MC1676407,4303616,,,
MR SAHI TRANSPORT INC,JURUPA VALLEY,CA,(951) 203-4184,MC1685735,4320697,,,
SH BUTTAR EXPRESS INC,BAKERSFIELD,CA,(661) 549-0071,MC1622933,4205115,,,
APORTELA TRANSPORT LLC,HESPERIA,CA,(213) 663-8716,MC1619058,4198219,,,
D & S TRUCKING LLC,TRACY,CA,(510) 329-0616,MC1639860,4236466,,,
ENRIQUEZ ELITE TRUCKING INC,SHAFTER,CA,(661) 401-0043,MC1657823,4269390,,,
NEW HOPE FREIGHT INC,BAKERSFIELD,CA,(661) 649-4131,MC1658976,4268872,,,
MIAMI EAGLE TRUCKING LLC,CARMICHEAL,CA,(916) 513-3564,MC1604639,4171625,,,
BOUNDLESS RAPID LOGISTICS INC,FRESNO,CA,(626) 999-7351,MC1627022,4212667,,,
SUPERCHARGED TRUCKING LLC,LODI,CA,(209) 200-0874,MC1627222,4213030,,,
GALAXY TRUCKING INC,FONTANA,CA,(747) 243-0446,MC1692713,4334476,,,
SOUTH WEST CARRIERS INC,BAKERSFIELD,CA,(661) 487-7823,MC1697335,4343421,,,
EVENSTART TRANSPORT INC,CHINO,CA,(626) 491-9995,MC1623686,4206506,,,
LEAL-13 TRANSPORT LLC,CALEXICO,CA,(619) 277-8434,MC1691823,4332621,,,
MATTU FREIGHT INC,FRESNO,CA,(916) 460-1004,MC1624385,4207800,,,
MENDEZ TRANSPORTATION LOGISTIC SERVICES LLC,LOS ANGELES,CA,(323) 332-7503,MC1605308,4172789,,,
GONZALEZ TRANSPORTATION INC,FONTANA,CA,(909) 964-6629,MC1636553,1107879,,,
AGST TRANSPORT INC,LANCASTER,CA,(818) 850-9886,MC1698850,4346414,,,
KSM TRUCKING INC,STOCKTON,CA,(209) 361-5158,MC1640576,3480705,,,
READY 365 TRUCKING INC,POMONA,CA,(626) 288-9302,MC1628786,4216013,,,
SUPER YU TRUCKING INC,POMONA,CA,(626) 800-7939,MC1626348,4211416,,,
JCMI LOGISTICS INC,JURUPA VALLEY,CA,(909) 284-0979,MC1641644,3609083,,,
H SIDHU TRANS INC,MANTECA,CA,(209) 305-3233,MC1699904,4348419,,,
AMADOR & SONS TRANSPORT LLC,JURUPA VALLEY,CA,(909) 260-3136,MC1639242,4235302,,,
JAY LOGISTICS LLC,COSTA MESA,CA,(770) 713-0988,MC1677458,4305565,,,
HERITAGE TRANS INC,MANTECA,CA,(209) 715-9749,MC1617455,4195293,,,
R S R CARRIER INC,BAKERSFIELD,CA,(707) 344-5995,MC1700835,4350224,,,
RATTAK TRUCKING INC,MANTECA,CA,(209) 252-6694,MC1634400,4226357,,,
G AND A HAULERS INC,YUBA CITY,CA,(530) 649-0387,MC1652603,4259930,,,
ZERO 1 TRANSPORT INC,MORENO VALLEY,CA,(951) 616-9421,MC1615272,4157163,,,
NARZMAN TRANS LLC,CUPERTINO,CA,(669) 312-1769,MC1755877,4454598,,,
JAKK TRANS INC,STOCKTON,CA,(209) 933-1825,MC1709980,4367287,,,
V&C TRUCKS INC,MANTECA,CA,(559) 716-1611,MC1731398,4408307,,,
CHIMNI TRANSPORT INC,ONTARIO,CA,(631) 933-5396,MC1761704,4465610,,,
KAIMLA XPRESS INC,SAN BERNARDINO,CA,(631) 877-9273,MC1706987,4361829,,,
CRISTOPHER JANSSON FALFAN LEON,LOS ANGELES,CA,(663) 198-5787,MC1757948,4458466,,,
TRUCKMARK INTERNATIONAL INC,WHITTIER,CA,(213) 332-8682,MC1719789,4385449,,,
CHARGER EXPRESS INC,SANTA CLARA,CA,(408) 373-6204,MC1774263,4489244,,,
SANSI LOGISTICS CORP,POMONA,CA,(626) 771-5102,MC1738547,4421772,,,
HB CARGO EXPRESS INC,SAN BERNARDINO,CA,(916) 995-4994,MC1739877,4424278,,,
FOREVER FREIGHTWAY INC,FRESNO,CA,(559) 231-3377,MC1790615,4519701,,,
J & J EXPORT LLC,CALEXICO,CA,(442) 250-5071,MC1720154,4386233,,,
CTX TRANS INC,SACRAMENTO,CA,(279) 254-8980,MC1745344,4434575,,,
NANO'S TRANSPORTATION LLC,RIVERSIDE,CA,(951) 275-4882,MC1732647,4410663,,,
NATRAJ LOGISTIC INC,SACRAMENTO,CA,(916) 907-2702,MC1794359,4526798,,,
JUANA ANTONIA MONTIEL,SAN DIEGO,CA,(619) 943-6170,MC1802035,4540990,,,
MJS TRANSPORT LLC,NORTH HOLLYWOOD,CA,(818) 588-2700,MC1701801,4352054,,,
GOTNE TRANSPORTATION LLC,MURRIETA,CA,(661) 383-7498,MC1709118,4365677,,,
AROUND THE CLOCK TRANSPORTATION,HESPERIA,CA,(951) 840-7463,MC1719248,4384394,,,
NINGGANG INC,ROWLAND HEIGHTS,CA,(626) 388-4815,MC1757958,4458486,,,
TJS LOGISTICS LLC,DESERT HOT SPRINGS,CA,(760) 832-2088,MC1742521,4429246,,,
LKTV TRUCKING INC,FONTANA,CA,(714) 334-2163,MC1726103,4398112,,,
JKAY TRANSPORT LLC,FRESNO,CA,(559) 420-8590,MC1761679,4465572,,,
R&F TRUCK LINES LLC,BAKERSFIELD,CA,(661) 499-8955,MC1739551,4423653,,,
AJIT TRANSPORTER INC,LATHROP,CA,(463) 204-7968,MC1790884,4520274,,,
ATTRI BROS TRANS INC,FRESNO,CA,(559) 899-5501,MC1783737,4506931,,,
BONILLA LOGISTICS LLC,MENDOTA,CA,(559) 596-4301,MC1703859,4356025,,,
OTTO EXPRESS INC,BELL,CA,(323) 317-1689,MC1734783,4414768,,,
AURORAS RLV TRUCKING LLC,BAKERSFIELD,CA,(408) 613-8078,MC1735703,4416504,,,
HIGHWAY SHIPPING DIVISION INC,YUBA  CITY,CA,(530) 812-2861,MC1709011,4365512,,,
MARIN CARRIER LLC,MONTEBELLO,CA,(562) 523-7010,MC1709995,4367315,,,
V N GORA TRANSPORT INC,FRESNO,CA,(559) 862-6114,MC1741421,4427168,,,
CLAY TRUCKING LLC,SALINAS,CA,(323) 687-8530,MC1795218,4518682,,,
JINGYANG TRANSPORTATION INC,MONTEREY PARK,CA,(909) 234-7666,MC1719256,4384414,,,
WHEEL KING TRANS INC,STOCKTON,CA,(209) 880-9388,MC1741723,4427696,,,
ELIHA INTERNATIONAL INC,ONTARIO,CA,(626) 890-5978,MC1704870,4357972,,,
J&D COMPANY TRUCKING LLC,DELHI,CA,(209) 205-5434,MC1764409,4470678,,,
MOVEX TRANSPORTATION INC,WINNETKA,CA,(559) 696-6671,MC1794366,4526700,,,
CORRAL & SON'S TRANSPORTION LLC,MORENO VALLEY,CA,(951) 550-9541,MC1801618,4540254,,,
REDLINE US LOGISTICS INC,ARCADIA,CA,(718) 517-1070,MC1720398,4386725,,,
SARDARA TRUCKLINE INC,CLOVIS,CA,(559) 473-6586,MC1751051,4445441,,,
ACE LINEHAUL INC,EL MONTE,CA,(949) 690-6948,MC1702178,4352787,,,
BRAULIO ALBERTO AMPARANO PARTIDA,FONTANA,CA,(858) 316-4433,MC1723024,4391997,,,
KUNYU MAI,CHINO HILLS,CA,(951) 987-1348,MC1718654,4383319,,,
